adcreatives,adset,campaign,created_time,id,name
"{'data': [{'effective_object_story_id': '1409112429354569_769459685195349', 'thumbnail_url': 'https://scontent-fco2-1.xx.fbcdn.net/v/t45.1600-4/399708805_120201808357490035_7372899423907852127_n.jpg?_nc_cat=104&ccb=1-7&_nc_ohc=8QZDulP3E3sAX-bd2Hj&_nc_ht=scontent-fco2-1.xx&edm=AOgd6ZUEAAAA&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75&ur=46b8c0&_nc_sid=58080a&oh=00_AfBi2faYP1Zr0QsSg9t5Q7LuN42Nxy0y890ami6Tp0SAAg&oe=65D8AF42', 'object_type': 'SHARE', 'id': '120202177319520035'}]}","<AdSet> {
    ""id"": ""120202176749660035"",
    ""name"": ""Nuovo gruppo di inserzioni Interazioni""
}","<Campaign> {
    ""account_id"": ""684215067141774"",
    ""id"": ""120202176749050035"",
    ""name"": ""Capodanno Su Meri"",
    ""objective"": ""OUTCOME_ENGAGEMENT""
}",2023-12-06T15:19:43+0100,120202176749710035,Nuova inserzione Interazioni
"{'data': [{'body': ""Celebrare i momenti speciali in luoghi altrettanto speciali è un ingrediente essenziale per trasformare un giorno ordinario in un ricordo straordinario🌟\n\nAl Ristorante Su Meri comprendiamo l'importanza di ogni istante significativo nella tua vita e sappiamo come trasformare ogni momento in un'esperienza indimenticabile 🎉 \n\nFesteggia con noi Battesimi, Comunioni, Matrimoni, Anniversari e Banchetti Nuziali 💍🎂 \n\n📍 Su Meri ( Loc. Is Olionis 1, Donori)\n📞 Per informazioni 320 869 0405"", 'effective_object_story_id': '1409112429354569_769378681870116', 'thumbnail_url': 'https://scontent-fco2-1.xx.fbcdn.net/v/t39.30808-6/408645904_769378678536783_1218849499173313927_n.jpg?_nc_cat=104&ccb=1-7&_nc_ohc=ghFMm5gsxlYAX9osQ6z&_nc_ht=scontent-fco2-1.xx&edm=AOgd6ZUEAAAA&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75&ur=21a04a&_nc_sid=58080a&oh=00_AfBGaTW7YSQJEoMWaYp64q76yRsxOQBUxPbtqyl3_HBugw&oe=65D87B00', 'image_url': 'https://scontent-fco2-1.xx.fbcdn.net/v/t45.1600-4/406258619_120201758343450035_4729656414440139940_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c0a1f7&_nc_ohc=JJW0yrVmAf4AX8KZSwh&_nc_ht=scontent-fco2-1.xx&edm=AOgd6ZUEAAAA&oh=00_AfBKS0EEbhDaZ1FURYyKHGMlhBCXubIKd9Ikg3unZPgo4w&oe=65D7D409', 'object_type': 'PHOTO', 'id': '120202163408350035'}]}","<AdSet> {
    ""id"": ""120201758028270035"",
    ""name"": ""prenotazione per eventi""
}","<Campaign> {
    ""account_id"": ""684215067141774"",
    ""id"": ""120201758028110035"",
    ""name"": ""Eventi"",
    ""objective"": ""OUTCOME_ENGAGEMENT""
}",2023-11-30T14:06:50+0100,120201758028320035,Nuova inserzione Interazioni
"{'data': [{'body': ""🎉✨ Benvenuti nel nostro esclusivo Cenone di Capodanno! 🍾🥂 Accogli l'anno nuovo con gusto e stile al Su Meri. 🎊 Un'esperienza culinaria indimenticabile, arricchita da un coinvolgente DJ Set con Antonio Sitzia 🕛✨\n\n📆 Data dell'Evento: 31 dicembre 2023\n📍 Location: Su Meri ( Loc. Is Olionis 1, Donori,)\n🎶 Special Guest: DJ Set Antonio Sitzia\n\n✨ Prenota il tuo tavolo ora e regalati una serata di eleganza e allegria! ✨ \nScrivici per richiedere informazioni dettagliate\nNon vediamo l'ora di festeggiare con voi il Capodanno! 🎊🍽️🎇\n\n#Capodanno2023 #CenoneEsclusivo #DJSet #Ristorantesumeri #BuonAnnoNuovo"", 'effective_object_story_id': '1409112429354569_760358726105445', 'thumbnail_url': 'https://scontent-fco2-1.xx.fbcdn.net/v/t39.30808-6/404116788_760358759438775_3627972142850155588_n.jpg?_nc_cat=104&ccb=1-7&_nc_ohc=ywA5aaRRDmsAX94lVpe&_nc_ht=scontent-fco2-1.xx&edm=AOgd6ZUEAAAA&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75&ur=21a04a&_nc_sid=58080a&oh=00_AfAWcME2FZxKFlj1a2ZH3Ec6H8ZNZByoKYcn74RPOnRAOA&oe=65D91095', 'object_type': 'PHOTO', 'id': '120201758289770035'}]}","<AdSet> {
    ""id"": ""120201758189670035"",
    ""name"": ""Nuovo gruppo di inserzioni Interazioni""
}","<Campaign> {
    ""account_id"": ""684215067141774"",
    ""id"": ""120201758189340035"",
    ""name"": ""Capodanno"",
    ""objective"": ""OUTCOME_ENGAGEMENT""
}",2023-11-30T12:59:09+0100,120201758189720035,Nuova inserzione Interazioni
"{'data': [{'effective_object_story_id': '100409929737524_254917700936727', 'thumbnail_url': 'https://scontent-fco2-1.xx.fbcdn.net/v/t45.1600-4/407949980_120202610314160390_2397334803928057452_n.jpg?_nc_cat=106&ccb=1-7&_nc_ohc=fax_ZFUfWosAX8D_gJZ&_nc_ht=scontent-fco2-1.xx&edm=AOgd6ZUEAAAA&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75&ur=46b8c0&_nc_sid=58080a&oh=00_AfArabuiAJ8ICLvtztH8vSMC5ZS8Yf8nXwMcBustVisZOA&oe=65D7D33D', 'object_type': 'SHARE', 'id': '120202611377180390'}]}","<AdSet> {
    ""id"": ""120202597513850390"",
    ""name"": ""Nuovo pacchetto: Interazioni Gruppo di inserzioni con impostazioni consigliate""
}","<Campaign> {
    ""account_id"": ""659651929630014"",
    ""id"": ""120202597513840390"",
    ""name"": ""Capodanno Ciasa de G."",
    ""objective"": ""OUTCOME_ENGAGEMENT""
}",2023-12-14T11:33:58+0100,120202597513830390,Nuovo pacchetto: Interazioni Inserzione con impostazioni consigliate
"{'data': [{'body': ""🎅Ci stiamo avvolgendo nell'atmosfera natalizia e il countdown verso il Natale è ormai agli sgoccioli! 🎅\n\n🎄 Siamo felici di presentarvi il nostro menù, appositamente ideato per deliziare i vostri palati durante questa festa speciale!\n\n✨Prenota ora il tuo Pranzo di Natale insieme ai tuoi cari al Ristorante Ciasa de Gahja\n\nDisponibile anche menu per bambini e vegetariano 💚\n\n📍 Via Anzolet 13, Budoia, PN\n📞 Per info e prenotazioni 375 521 5537"", 'effective_object_story_id': '100409929737524_247480431680454', 'thumbnail_url': 'https://scontent-fco2-1.xx.fbcdn.net/v/t39.30808-6/406986518_247480421680455_5579678919975255524_n.jpg?_nc_cat=100&ccb=1-7&_nc_ohc=YPxlNSXBUEgAX-Bu_Dc&_nc_ht=scontent-fco2-1.xx&edm=AOgd6ZUEAAAA&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75&ur=21a04a&_nc_sid=58080a&oh=00_AfC8CNKGQAXbLTllO5LV_UzMfcoLNTqdHtE7n7gTv1T8qA&oe=65D7BB93', 'image_url': 'https://scontent-fco2-1.xx.fbcdn.net/v/t45.1600-4/399718209_120201441962680390_2451236062806396294_n.png?_nc_cat=102&ccb=1-7&_nc_sid=c0a1f7&_nc_ohc=CpGUa26cztwAX92h20O&_nc_oc=AQmEixcBTaltdMwvagS3qXAS7naCqQxF8AL3QsISwwNxTgriksz7GDx6_wofbZfiLQg&_nc_ht=scontent-fco2-1.xx&edm=AOgd6ZUEAAAA&oh=00_AfAX19C_K2RkM6HZniJmRDi7CZU_aeLdjvUhxNwBTOxMSA&oe=65D84CCA', 'object_type': 'PHOTO', 'id': '120201442055210390'}]}","<AdSet> {
    ""id"": ""120201422366960390"",
    ""name"": ""Nuovo pacchetto: Interazioni Gruppo di inserzioni con impostazioni consigliate""
}","<Campaign> {
    ""account_id"": ""659651929630014"",
    ""id"": ""120201422366970390"",
    ""name"": ""Natale 2023"",
    ""objective"": ""OUTCOME_ENGAGEMENT""
}",2023-12-01T16:20:38+0100,120201442215360390,menu base - Copia
"{'data': [{'body': ""🎅Ci stiamo avvolgendo nell'atmosfera natalizia e il countdown verso il Natale è ormai agli sgoccioli! 🎅\n\n🎄 Siamo felici di presentarvi il nostro menù, appositamente ideato per deliziare i vostri palati durante questa festa speciale!\n\n✨Prenota ora il tuo Pranzo di Natale insieme ai tuoi cari al Ristorante Ciasa de Gahja\n\nDisponibile anche menu per bambini e vegetariano 💚\n\n📍 Via Anzolet 13, Budoia, PN\n📞 Per info e prenotazioni 375 521 5537"", 'effective_object_story_id': '100409929737524_247480431680454', 'thumbnail_url': 'https://scontent-fco2-1.xx.fbcdn.net/v/t39.30808-6/406986518_247480421680455_5579678919975255524_n.jpg?_nc_cat=100&ccb=1-7&_nc_ohc=YPxlNSXBUEgAX-Bu_Dc&_nc_ht=scontent-fco2-1.xx&edm=AOgd6ZUEAAAA&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75&ur=21a04a&_nc_sid=58080a&oh=00_AfC8CNKGQAXbLTllO5LV_UzMfcoLNTqdHtE7n7gTv1T8qA&oe=65D7BB93', 'image_url': 'https://scontent-fco2-1.xx.fbcdn.net/v/t45.1600-4/399718209_120201441962680390_2451236062806396294_n.png?_nc_cat=102&ccb=1-7&_nc_sid=c0a1f7&_nc_ohc=CpGUa26cztwAX92h20O&_nc_oc=AQmEixcBTaltdMwvagS3qXAS7naCqQxF8AL3QsISwwNxTgriksz7GDx6_wofbZfiLQg&_nc_ht=scontent-fco2-1.xx&edm=AOgd6ZUEAAAA&oh=00_AfAX19C_K2RkM6HZniJmRDi7CZU_aeLdjvUhxNwBTOxMSA&oe=65D84CCA', 'object_type': 'PHOTO', 'id': '120201442055210390'}]}","<AdSet> {
    ""id"": ""120201422366960390"",
    ""name"": ""Nuovo pacchetto: Interazioni Gruppo di inserzioni con impostazioni consigliate""
}","<Campaign> {
    ""account_id"": ""659651929630014"",
    ""id"": ""120201422366970390"",
    ""name"": ""Natale 2023"",
    ""objective"": ""OUTCOME_ENGAGEMENT""
}",2023-12-01T11:42:39+0100,120201422366980390,menu base
"{'data': [{'body': ""🎄 Festeggia il Natale con Gusto, il nostro Menu ti aspetta 🎄\n\nLasciati avvolgere dalla calda atmosfera delle festività e dai piaceri gastronomici che abbiamo preparato per te.\nPrenota il tuo tavolo ora e regalati, insieme ai tuoi cari, un'esperienza culinaria indimenticabile che rimarrà nei tuoi ricordi più preziosi.\n\nScopri i nostri Menù\n\nMenù Base €85\nMenù Vegetariano €80\nMenù Bambino €25\n\nPer rendere il tuo momento ancora più speciale, puoi scegliere tra oltre 100 etichette presenti nella nostra Carta dei Vini, o lasciarti tentare dal nostro Vino della Casa, un'autentica delizia a 10 euro al litro. \nAbbina il tuo pasto con il tocco perfetto di eleganza e gusto 🍷✨\n\nChiamaci al 375 521 5537 per scoprire il nostro Menù 💫"", 'effective_object_story_id': '100409929737524_246695321758965', 'thumbnail_url': 'https://scontent-fco2-1.xx.fbcdn.net/v/t39.30808-6/406978499_246695315092299_1951221193482834898_n.jpg?_nc_cat=109&ccb=1-7&_nc_ohc=_J7SQbvSCJUAX_WoBnx&_nc_ht=scontent-fco2-1.xx&edm=AOgd6ZUEAAAA&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75&ur=21a04a&_nc_sid=58080a&oh=00_AfDkrY1jSN0TXSYhHVq9yz6QTeRkgsd8670cUXtQ66CEzA&oe=65D89B43', 'image_url': 'https://scontent-fco2-1.xx.fbcdn.net/v/t45.1600-4/406112075_120201362591810390_5601500686487667022_n.png?_nc_cat=103&ccb=1-7&_nc_sid=c0a1f7&_nc_ohc=N1y4RYC_uwEAX8Y9CZY&_nc_ht=scontent-fco2-1.xx&edm=AOgd6ZUEAAAA&oh=00_AfCfU3e5dT_m8EEp3CvJ2DGD42WRzrzLxIApdD5bWntskQ&oe=65D8BC74', 'object_type': 'PHOTO', 'id': '120201386510800390'}]}","<AdSet> {
    ""id"": ""120201362287880390"",
    ""name"": ""Nuovo pacchetto: Interazioni Gruppo di inserzioni con impostazioni consigliate""
}","<Campaign> {
    ""account_id"": ""659651929630014"",
    ""id"": ""120201362287870390"",
    ""name"": ""Pranzo di Natale"",
    ""objective"": ""OUTCOME_ENGAGEMENT""
}",2023-11-29T14:04:20+0100,120201362287860390,Nuovo pacchetto: Interazioni Inserzione con impostazioni consigliate
"{'data': [{'effective_object_story_id': '100409929737524_242398648855299', 'thumbnail_url': 'https://scontent-fco2-1.xx.fbcdn.net/v/t45.1600-4/403343117_120201207002880390_3237810060595188550_n.jpg?_nc_cat=100&ccb=1-7&_nc_ohc=rH5ISZ31wIYAX8RYyqD&_nc_ht=scontent-fco2-1.xx&edm=AOgd6ZUEAAAA&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75&ur=46b8c0&_nc_sid=58080a&oh=00_AfALmu-zXWdMEafl-dyHhw9QBe6kRZ76C81NgEDp8g97bw&oe=65D7EC9D', 'object_type': 'SHARE', 'id': '120201208009570390'}]}","<AdSet> {
    ""id"": ""120201202214040390"",
    ""name"": ""Nuovo pacchetto: Interazioni Gruppo di inserzioni con impostazioni consigliate""
}","<Campaign> {
    ""account_id"": ""659651929630014"",
    ""id"": ""120201202214030390"",
    ""name"": ""Nuovo pacchetto: Interazioni Campagna con impostazioni consigliate"",
    ""objective"": ""OUTCOME_ENGAGEMENT""
}",2023-11-22T17:29:35+0100,120201202214020390,Inaugurazione
"{'data': [{'effective_object_story_id': '562652180593841_917378473568516', 'thumbnail_url': 'https://scontent-fco2-1.xx.fbcdn.net/v/t45.1600-4/426318275_120205380458550033_1668443580300148151_n.png?_nc_cat=104&ccb=1-7&_nc_ohc=cfKoMTUAA3QAX9vXDXY&_nc_ht=scontent-fco2-1.xx&edm=AOgd6ZUEAAAA&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75&ur=46b8c0&_nc_sid=58080a&oh=00_AfDQH373tfkZhWo8JsMkfgmCPYcaDs0jJd5tpxi63roZiA&oe=65D8F799', 'object_type': 'SHARE', 'id': '120205380758580033'}]}","<AdSet> {
    ""id"": ""120205380158230033"",
    ""name"": ""Nuovo pacchetto: Interazioni Gruppo di inserzioni con impostazioni consigliate""
}","<Campaign> {
    ""account_id"": ""2572739292893231"",
    ""id"": ""120205380158220033"",
    ""name"": ""San Valentino"",
    ""objective"": ""OUTCOME_ENGAGEMENT""
}",2024-02-06T15:41:35+0100,120205380158210033,Nuovo pacchetto: Interazioni Inserzione con impostazioni consigliate
"{'data': [{'body': 'Se non vuoi affrontare il classico cenone organizzato e vuoi goderti una festa senza stress, la Cantina Arnaldi ti aspetta con le braccia spalancate fino a notte fonda 😉\n\nMusetto Night e Cicheti speciali!\n\nBasi a tutti belli e brutti', 'effective_object_story_id': '147874238886298_1373364633470857', 'thumbnail_url': 'https://scontent-fco2-1.xx.fbcdn.net/v/t39.30808-6/413803746_1373364630137524_1982591807477436654_n.jpg?_nc_cat=106&ccb=1-7&_nc_ohc=Q70ftiVJrB4AX9dmLRq&_nc_ht=scontent-fco2-1.xx&edm=AOgd6ZUEAAAA&stp=c0.5000x0.5000f_dst-emg0_p64x64_q75&ur=21a04a&_nc_sid=58080a&oh=00_AfAlthaw2MhIQFk_gXVqCc8deRW4FkTypDm2jAtU7wM8KQ&oe=65D82ACD', 'image_url': 'https://scontent-fco2-1.xx.fbcdn.net/v/t45.1600-4/408359661_120204953144240584_461640652302648360_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=c0a1f7&_nc_ohc=YUp79BJopcMAX9DA7p2&_nc_ht=scontent-fco2-1.xx&edm=AOgd6ZUEAAAA&oh=00_AfDmJfscp7dTOxCyYlh__xifWNhAXXWPIlJNl5q5MQfl1A&oe=65D8B0DE', 'object_type': 'PHOTO', 'id': '120205051471640584'}]}","<AdSet> {
    ""id"": ""120204929510280584"",
    ""name"": ""Nuovo gruppo di inserzioni Interazioni""
}","<Campaign> {
    ""account_id"": ""1019539959304272"",
    ""id"": ""120204929509180584"",
    ""name"": ""Capodanno"",
    ""objective"": ""OUTCOME_ENGAGEMENT""
}",2023-12-22T15:11:04+0100,120205051396810584,insersione capodanno
